1325;	3517;
1326;	3517;
1327;	3517;
1328;	3517;
1329;	3517;
1330;	3517;
1331;	3517;
1332;	3517;
1333;	3517;
1334;	3517;
1335;	3517;
1336;	3517;
1337;	3517;
1338;	3517;
1339;	3517;
1340;	3517;
1341;	3517;
1342;	3517;
1343;	3517;
1344;	3517;
1345;	3517;
1346;	3517;
1347;	3517;
1348;	3517;
1349;	3517;
1350;	3517;
1351;	3517;
1352;	3517;
1353;	3517;
1354;	3517;
1355;	3517;
1356;	3517;
1357;	3517;
1358;	3517;
1359;	3517;
1360;	3517;
1361;	3517;
1362;	3517;
1363;	3517;
1364;	3517;
1365;	3517;
1366;	3517;
1367;	3517;
1368;	3517;
1369;	3517;
1370;	3517;
1371;	3517;
1372;	3517;
1373;	3517;
1374;	3517;
1375;	3517;
1376;	3517;
1377;	3517;
1378;	3517;
1379;	3517;
1380;	3517;
1381;	3517;
1382;	3517;
1383;	3517;
1384;	3517;
1385;	3517;
1386;	3517;
1387;	3517;
1388;	3517;
1389;	3517;
1390;	3517;
1391;	3517;
1392;	3517;
1393;	3517;
1394;	3517;
1395;	3517;
1396;	3517;
1397;	3517;
1398;	3517;
1399;	3517;
1400;	3517;
1401;	3517;
1402;	3517;
1403;	3517;
1404;	3517;
1405;	3517;
1406;	3517;
1407;	3517;
1408;	3517;
1409;	3517;
1410;	3517;
1411;	3517;
1412;	3517;
1413;	3517;
1414;	3517;
1415;	3517;
1416;	3517;
1417;	3517;
1418;	3517;
1419;	3517;
1420;	3517;
1421;	3517;
1422;	3517;
1423;	3517;
1424;	3517;
1425;	3517;
1426;	3517;
1427;	3517;
1428;	3517;
1429;	3517;
1430;	3517;
1431;	3517;
1432;	3517;
1433;	3517;
1434;	3517;
1435;	3517;
1436;	3517;
1437;	3517;
1438;	3517;
1439;	3517;
1440;	3517;
1441;	3517;
1442;	3517;
1443;	3517;
1444;	3517;
1445;	3517;
1446;	3517;
1447;	3517;
1448;	3517;
1449;	3517;
1450;	3517;
1451;	3517;
1452;	3517;
1453;	3517;
1454;	3517;
1455;	3517;
1456;	3517;
1457;	3517;
1458;	3517;
1459;	3517;
1460;	3517;
1461;	3517;
1462;	3517;
1463;	3517;
1464;	3517;
1465;	3517;
1466;	3517;
1467;	3517;
1468;	3517;
1469;	3517;
1470;	3517;
1471;	3517;
1472;	3517;
1473;	3517;
1474;	3517;
1475;	3517;
1476;	3517;
1477;	3517;
1478;	3517;
1479;	3517;
1480;	3517;
1481;	3517;
1482;	3517;
1483;	3517;
1484;	3517;
1485;	3517;
1486;	3517;
1487;	3517;
1488;	3517;
1489;	3517;
1490;	3517;
1491;	3517;
1492;	3517;
1493;	3517;
1494;	3517;
1495;	3517;
1496;	3517;
1497;	3517;
1498;	3517;
1499;	3517;
1500;	3517;
1501;	3517;
1502;	3517;
1503;	3517;
1504;	3517;
1505;	3517;
1506;	3517;
1507;	3517;
1508;	3517;
1509;	3517;
1510;	3517;
1511;	3517;
1512;	3517;
1513;	3517;
1514;	3517;
1515;	3517;
1516;	3517;
1517;	3517;
1518;	3517;
1519;	3517;
1520;	3517;
1521;	3517;
1522;	3517;
1523;	3517;
1524;	3517;
1525;	3517;
1526;	3517;
1527;	3517;
1528;	3517;
1529;	3517;
1530;	3517;
1531;	3517;
1532;	3517;
1533;	3517;
1534;	3517;
1535;	3517;
1536;	3517;
1537;	3517;
1538;	3517;
1539;	3517;
1540;	3517;
1541;	3517;
1542;	3517;
1543;	3517;
1544;	3517;
1545;	3517;
1546;	3517;
1547;	3517;
1548;	3517;
1549;	3517;
1550;	3517;
1551;	3517;
1552;	3517;
1553;	3517;
1554;	3517;
1555;	3517;
1556;	3517;
1557;	3517;
1558;	3517;
1559;	3517;
